Start_Date,Total_kWh
2018/6/20,438.11
2018/6/21,397.28
2018/6/22,412.29
2018/6/23,232.54
2018/6/24,176.42
2018/6/25,422.03
2018/6/26,318.97
2018/6/27,397.48
2018/6/28,402.41
2018/6/29,305.45
2018/6/30,178.89
2018/7/1,95.56
2018/7/2,332.24
2018/7/3,328.11
2018/7/4,336.56
2018/7/5,305.66
2018/7/6,248.04
2018/7/7,183.82
2018/7/8,197.8
2018/7/9,228.84
2018/7/10,284.66
2018/7/11,303.11
2018/7/12,279.61
2018/7/13,379.38
2018/7/14,122.12
2018/7/15,128.25
2018/7/16,292.36
2018/7/17,322.04
2018/7/18,309.35
2018/7/19,321.01
2018/7/20,276.82
2018/7/21,126.99
2018/7/22,141.21
2018/7/23,255.51
2018/7/24,313.45
2018/7/25,289.39
2018/7/26,401.86
2018/7/27,225.36
2018/7/28,201.5
2018/7/29,215.47
2018/7/30,245.45
2018/7/31,361.14
2018/8/1,267.04
2018/8/2,352.05
2018/8/3,269.7
2018/8/4,170.46
2018/8/5,146.88
2018/8/6,306.63
2018/8/7,323.11
2018/8/8,329.15
2018/8/9,328.74
2018/8/10,331.54
2018/8/11,198.27
2018/8/12,151.97
2018/8/13,340.24
2018/8/14,390.36
2018/8/15,377.72
2018/8/16,362.94
2018/8/17,372.94
2018/8/18,252.51
2018/8/19,226.71
2018/8/20,351.85
2018/8/21,448.97
2018/8/22,413.03
2018/8/23,409.31
2018/8/24,370.59
2018/8/25,166.07
2018/8/26,144.24
2018/8/27,448.71
2018/8/28,432.79
2018/8/29,433.9
2018/8/30,388.35
2018/8/31,346.96
